title,link,date,author,description,next_page
Cato MDR: Managed Threat Detection and Response Made Easy,https://thehackernews.com/2020/07/cato-threat-detection-response.html,"July 06, 2020",The Hacker News,"Lately, we can't help noticing an endless cycle where the more enterprises invest in threat prevention; the more hackers adapt and continue to penetrate enterprises.   To make things worse, detecting these penetrations still takes too long with an average dwell time that exceeds 100 (!) days.   To keep the enterprise protected, IT needs to figure out a way to break this endless cycle without purchasing complex security and data analysis tools and hiring the right (skilled and expensive) security professionals to operate them.    Enter MDR   An advanced security service, Managed Detection and Response (MDR), provides ongoing threat detection and response, leveraging AI and machine learning to investigate, alert, and contain threats.   MDR is becoming popular and gaining traction. In fact, Gartner forecasts that by 2024, 25% of organizations will be using MDR services, up from less than 5% today. And by 2024, 40% of midsize enterprises will use MDR as their only managed security s",https://thehackernews.com/search?updated-max=2020-07-04T07:20:00-07:00&max-results=8&start=24&by-date=false
Critical RCE Flaw Affects F5 BIG-IP Application Security Servers,https://thehackernews.com/2020/07/f5-big-ip-application-security.html,"July 04, 2020",Swati Khandelwal,"Cybersecurity researchers today issued a security advisory warning enterprises and governments across the globe to immediately patch a highly-critical remote code execution vulnerability affecting F5's BIG-IP networking devices running application security servers.   The vulnerability, assigned CVE-2020-5902  and rated as critical with a CVSS score of 10 out of 10, could let remote attackers take complete control of the targeted systems, eventually gaining surveillance over the application data they manage.   According to Mikhail Klyuchnikov, a security researcher at Positive Technologies who discovered the flaw and reported it to F5 Networks, the issue resides in a configuration utility called Traffic Management User Interface (TMUI) for BIG-IP application delivery controller (ADC).   BIG-IP ADC is being used by large enterprises, data centers, and cloud computing environments, allowing them to implement application acceleration, load balancing, rate shaping, SSL offloading, an",https://thehackernews.com/search?updated-max=2020-07-04T07:20:00-07:00&max-results=8&start=24&by-date=false
Police Arrested Hundreds of Criminals After Hacking Into Encrypted Chat Network,https://thehackernews.com/2020/07/encrochat-encrypted-phone.html,"July 03, 2020",Swati Khandelwal,"In a joint operation, European and British law enforcement agencies recently arrested  hundreds of alleged drug dealers and other criminals after infiltrating into a global network of an encrypted chatting app that was used to plot drug deals, money laundering, extortions, and even murders.   Dubbed EncroChat , the top-secret encrypted communication app comes pre-installed on a customized Android-based handset with GPS, camera, and microphone functionality removed for anonymity and security.   EncroChat phones aim to securely exchange data and messages with pre-loaded apps for secure instant messaging, VOIP calling, self destruct messages, and includes a 'kill code' functionality to let users remotely wipe complete data in times of trouble.   The handset and its services, which cost around £1,500 for a six-month subscription, had 60,000 users worldwide and approximately 10,000 users in the United Kingdom.   ""EncroChat phones were presented to customers as guaranteeing pe",https://thehackernews.com/search?updated-max=2020-06-29T03:22:00-07:00&max-results=8&start=32&by-date=false
Critical Apache Guacamole Flaws Put Remote Desktops at Risk of Hacking,https://thehackernews.com/2020/07/apache-guacamole-hacking.html,"July 02, 2020",Ravie Lakshmanan,"A new research has uncovered multiple critical reverse RDP vulnerabilities  in Apache Guacamole , a popular remote desktop application used by system administrators to access and manage Windows and Linux machines remotely.   The reported flaws could potentially let bad actors achieve full control over the Guacamole server, intercept, and control all other connected sessions.   According to a report  published by Check Point Research and shared with The Hacker News, the flaws grant ""an attacker, who has already successfully compromised a computer inside the organization, to launch an attack on the Guacamole gateway when an unsuspecting worker tries to connect to an infected machine.""   After the cybersecurity firm responsibly disclosed its findings to Apache, the maintainers of Guacamole, on March 31, the company released a patched version  in June 2020.   Apache Guacamole  is a popular open-source clientless remote desktop gateways solution. When installed on a company'",https://thehackernews.com/search?updated-max=2020-06-29T03:22:00-07:00&max-results=8&start=32&by-date=false
Microsoft Releases Urgent Windows Update to Patch Two Critical Flaws,https://thehackernews.com/2020/07/windows-security-update.html,"July 01, 2020",Swati Khandelwal,"Microsoft yesterday quietly released out-of-band software updates to patch two high-risk security vulnerabilities affecting hundreds of millions of Windows 10 and Server editions' users.   To be noted, Microsoft rushed to deliver patches almost two weeks before the upcoming monthly 'Patch Tuesday Updates' scheduled for 14th July.   That's likely because both flaws reside in the  Windows Codecs Library , an easy attack vector to social engineer victims into running malicious media files downloaded from the Internet.   For those unaware, Codecs is a collection of support libraries that help the Windows operating system to play, compress and decompress various audio and video file extensions.   The two newly disclosed security vulnerabilities, assigned CVE-2020-1425  and CVE-2020-1457 , are both remote code execution bugs that could allow an attacker to execute arbitrary code and control the compromised Windows computer.   According to Microsoft, both remote code executi",https://thehackernews.com/search?updated-max=2020-06-29T03:22:00-07:00&max-results=8&start=32&by-date=false
Use This Definitive RFP Template to Effectively Evaluate XDR solutions,https://thehackernews.com/2020/07/extended-detection-response.html,"July 01, 2020",The Hacker News,"A new class of security tools is emerging that promises to significantly improve the effectiveness and efficiency of threat detection and response.   Emerging Extended Detection and Response (XDR) solutions aim to aggregate and correlate telemetry from multiple detection controls and then synthesize response actions.   XDR has been referred to as the next step in the evolution of Endpoint Detection and Response (EDR) solutions.   In fact, Gartner named XDR as the first of their Top 9 Security and Risk Trend  for 2020.   Because XDR represents a new solution category, there is no single accepted definition of what capabilities and features should (and shouldn't) be included.   Each provider approaches XDR with different strengths and perspectives on how what an XDR solution should include.   Therefore, selecting an XDR provider is quite challenging as organizations must organize and prioritize a wide range of capabilities that can differ significantly between providers.   Cynet is no",https://thehackernews.com/search?updated-max=2020-06-29T03:22:00-07:00&max-results=8&start=32&by-date=false
A New Ransomware Targeting Apple macOS Users Through Pirated Apps,https://thehackernews.com/2020/07/macos-ransomware-attack.html,"July 01, 2020",Ravie Lakshmanan,"Cybersecurity researchers this week discovered a new type of ransomware targeting macOS users that spreads via pirated apps.   According to several independent reports from K7 Lab malware researcher Dinesh Devadoss , Patrick Wardle , and Malwarebytes , the ransomware variant — dubbed "" EvilQuest "" — is packaged along with legitimate apps, which upon installation, disguises itself as Apple's CrashReporter or Google Software Update.   Besides encrypting the victim's files, EvilQuest also comes with capabilities to ensure persistence, log keystrokes, create a reverse shell, and steal cryptocurrency wallet-related files.   With this development, EvilQuest joins a handful of ransomware strains that have exclusively singled out macOS, including KeRanger  and Patcher .   The source of the malware appears to be trojanized versions of popular macOS software — such as Little Snitch, a DJ software called Mixed In Key 8, and Ableton Live — that are distributed on popular torre",https://thehackernews.com/search?updated-max=2020-06-29T03:22:00-07:00&max-results=8&start=32&by-date=false
Advanced StrongPity Hackers Target Syria and Turkey with Retooled Spyware,https://thehackernews.com/2020/06/strongpity-syria-turkey-hackers.html,"June 30, 2020",Ravie Lakshmanan,"Cybersecurity researchers today uncovered new details of watering hole attacks against the Kurdish community in Syria and Turkey for surveillance and intelligence exfiltration purposes.   The advanced persistent threat behind the operation, called StrongPity , has retooled with new tactics to control compromised machines, cybersecurity firm Bitdefender said in a report  shared with The Hacker News.   ""Using watering hole tactics to selectively infect victims and deploying a three-tier C&C infrastructure to thwart forensic investigations, the APT group leveraged Trojanized popular tools, such as archivers, file recovery applications, remote connections applications, utilities, and even security software, to cover a wide range of options that targeted victims might be seeking,"" the researchers said.   With the timestamps of the analyzed malware samples used in the campaign coinciding with the Turkish offensive into north-eastern Syria (codenamed Operation Peace Spring )",https://thehackernews.com/search?updated-max=2020-06-29T03:22:00-07:00&max-results=8&start=32&by-date=false
Russian Hacker Gets 9-Year Jail for Running Online Shop of Stolen Credit Cards,https://thehackernews.com/2020/06/russian-credit-card-hacker.html,"June 29, 2020",Swati Khandelwal,"A United States federal district court has finally sentenced a Russian hacker  to nine years in federal prison after he pleaded guilty of running two illegal websites devoted to facilitating payment card fraud, computer hacking, and other crimes.   Aleksei Yurievich Burkov , 30, pleaded guilty  in January this year to two of the five charges against him for credit card fraud—one count of access device fraud and one count of conspiracy to commit access device fraud, identity theft, computer intrusions, wire fraud, and money laundering.   Burkov admitted to operating a website named Cardplanet that was dedicated to buying and selling stolen credit card and debit card data for anywhere between $2.50 and $10 per payment card, depending on the card type, origin, and availability of card owner information.   According to the U.S. Department of Justice, Cardplanet hosted roughly 150,000 payment card details between 2009 and 2013, most of which belonged to U.S. citizens and used to make over $",https://thehackernews.com/search?updated-max=2020-06-29T03:22:00-07:00&max-results=8&start=32&by-date=false
e-Commerce Site Hackers Now Hiding Credit Card Stealer Inside Image Metadata,https://thehackernews.com/2020/06/image-credit-card-skimmers.html,"June 29, 2020",Ravie Lakshmanan,"In what's one of the most innovative hacking campaigns, cybercrime gangs are now hiding malicious code implants in the metadata of image files to covertly steal payment card information entered by visitors on the hacked websites.   ""We found skimming code hidden within the metadata of an image file (a form of steganography) and surreptitiously loaded by compromised online stores,"" Malwarebytes researchers said  last week.   ""This scheme would not be complete without yet another interesting variation to exfiltrate stolen credit card data. Once again, criminals used the disguise of an image file to collect their loot.""   The evolving tactic of the operation, widely known as web skimming or a Magecart attack, comes as bad actors are finding different ways to inject JavaScript scripts, including misconfigured AWS S3 data  storage buckets and exploiting content security policy to transmit data to a Google Analytics account  under their control.   Using Steganography",https://thehackernews.com/search?updated-max=2020-06-29T03:22:00-07:00&max-results=8&start=32&by-date=false
'Satori' IoT DDoS Botnet Operator Sentenced to 13 Months in Prison,https://thehackernews.com/2020/06/ddos-botnet-hacker-jailed.html,"June 26, 2020",Wang Wei,"The United States Department of Justice yesterday sentenced a 22-year-old Washington-based hacker to 13 months in federal prison for his role in creating botnet malware, infecting a large number of systems with it, and then abusing those systems to carry out large scale distributed denial-of-service (DDoS) attacks against various online service and targets.   According to court documents, Kenneth Currin Schuchman , a resident of Vancouver, and his criminal associates–Aaron Sterritt and Logan Shwydiuk–created multiple DDoS botnet malware since at least August 2017 and used them to enslave hundreds of thousands of home routers and other Internet-connected devices worldwide.   Dubbed Satori, Okiru, Masuta, and Tsunami or Fbot, all these botnets were the successors of the infamous IoT malware Mirai , as they were created mainly using the source code of Mirai, with some additional features added to make them more sophisticated and effective against evolving targets.   Even after the orig",https://thehackernews.com/search?updated-max=2020-06-22T07:08:00-07:00&max-results=8&start=40&by-date=false
WikiLeaks Founder Charged With Conspiring With LulzSec & Anonymous Hackers,https://thehackernews.com/2020/06/wikileaks-lulzsec-anonymous-hackers.html,"June 25, 2020",Swati Khandelwal,"The United States government has filed a superseding indictment against WikiLeaks founder Julian Assange accusing him of collaborating with computer hackers, including those affiliated with the infamous LulzSec and ""Anonymous"" hacking groups.   The new superseding indictment  does not contain any additional charges beyond the prior 18-count indictment filed against Assange in May 2019, but it does ""broaden the scope of the conspiracy surrounding alleged computer intrusions with which Assange was previously charged,"" the DoJ said.   In May 2019, Assange was charged with 18 counts  under the old U.S. Espionage Act for unlawfully publishing classified military and diplomatic documents on his popular WikiLeaks website in 2010, which he obtained from former Army intelligence analyst Chelsea Manning.   Assange has been alleged to have obtained those classified documents by conspiring with Manning to crack a password hash to a classified U.S. Department of Defense comput",https://thehackernews.com/search?updated-max=2020-06-22T07:08:00-07:00&max-results=8&start=40&by-date=false
Docker Images Containing Cryptojacking Malware Distributed via Docker Hub,https://thehackernews.com/2020/06/cryptocurrency-docker-image.html,"June 25, 2020",Ravie Lakshmanan,"With Docker gaining popularity as a service to package and deploy software applications, malicious actors are taking advantage of the opportunity to target exposed API endpoints and craft malware-infested images to facilitate distributed denial-of-service (DDoS) attacks and mine cryptocurrencies.   According to a report published by Palo Alto Networks' Unit 42 threat intelligence team, the purpose of these Docker images is to generate funds by deploying a cryptocurrency miner using Docker containers and leveraging the Docker Hub repository to distribute these images.   ""Docker containers provide a convenient way for packaging software, which is evident by its increasing adoption rate,"" Unit 42 researchers said . ""This, combined with coin mining, makes it easy for a malicious actor to distribute their images to any machine that supports Docker and instantly starts using its compute resources towards cryptojacking.""   Docker is a well-known platform-as-a-servic",https://thehackernews.com/search?updated-max=2020-06-22T07:08:00-07:00&max-results=8&start=40&by-date=false
Critical Bugs and Backdoor Found in GeoVision's Fingerprint and Card Scanners,https://thehackernews.com/2020/06/geovision-scanner-vulnerabilities.html,"June 25, 2020",Ravie Lakshmanan,"GeoVision, a Taiwanese manufacturer of video surveillance systems and IP cameras, recently patched three of the four critical flaws impacting its card and fingerprint scanners that could've potentially allowed attackers to intercept network traffic and stage man-in-the-middle attacks.   In a report shared exclusively with The Hacker News, enterprise security firm Acronis said it discovered the vulnerabilities last year following a routine security audit of a Singapore-based major retailer.   ""Malicious attackers can establish persistence on the network and spy on internal users, steal data — without ever getting detected,"" Acronis  said. ""They can reuse your fingerprint data to enter your home and/or personal devices, and photos can be easily reused by malicious actors to perpetrate identity theft based on biometric data.""   In all, the flaws affect at least 6 device families, with over 2,500 vulnerable devices discovered online across Brazil, US, Germany, Ta",https://thehackernews.com/search?updated-max=2020-06-22T07:08:00-07:00&max-results=8&start=40&by-date=false
New Privacy Features Added to the Upcoming Apple iOS 14 and macOS Big Sur,https://thehackernews.com/2020/06/ios14-macos-big-sur-privacy.html,"June 23, 2020",Swati Khandelwal,"Unprecedented times call for unprecedented measures.   No, we're not talking about 'coronavirus,' the current global pandemic because of which Apple—for the very first time in history—organized its Worldwide Developer Conference ( WWDC ) virtually.   Here we're talking about a world in which we are all connected and constantly sharing data, also known as the new oil, with something called ""privacy"" for which we still have to fight on several fronts together.   During WWDC 2020 on Monday, the world's most valuable company announced the next versions of its operating systems — iOS 14  for iPhones, iPadOS 14 for iPads, watchOS 7 for Apple Watches, and macOS Big Sur  for MacBooks — with new features and enhancements.   What's important is that the company also highlighted a few new security and privacy features that have been added to the upcoming iOS 14 and macOS Big Sur systems, categorically aiming to help users:    better control which apps installed",https://thehackernews.com/search?updated-max=2020-06-22T07:08:00-07:00&max-results=8&start=40&by-date=false
VirusTotal Adds Cynet's Artificial Intelligence-Based Malware Detection,https://thehackernews.com/2020/06/virustotal-cynet-malware-detection.html,"June 23, 2020",The Hacker News,"VirusTotal, the famous multi-antivirus scanning service owned by Google, recently announced new threat detection capabilities  it added with the help of an Israeli cybersecurity firm.   VirusTotal provides a free online service that analyzes suspicious files and URLs to detect malware and automatically shares them with the security community. With the onslaught of new malware types and samples, researchers rely on the rapid discovery and sharing provided by VirusTotal to keep their companies safe from attacks.   VirusTotal relies on a continuous stream of new malware discoveries to protect its members from significant damage.   Cynet , the creator of the autonomous breach protection platform, has now integrated its Cynet Detection Engine into VirusTotal.    The benefits of this partnership are twofold.  First, Cynet provides the VirusTotal partner network cutting-edge threat intelligence from its ML-based detection engine (CyAI) that actively protects the company's clients around th",https://thehackernews.com/search?updated-max=2020-06-22T07:08:00-07:00&max-results=8&start=40&by-date=false
Hackers Using Google Analytics to Bypass Web Security and Steal Credit Cards,https://thehackernews.com/2020/06/google-analytics-hacking.html,"June 23, 2020",Ravie Lakshmanan,"Researchers reported on Monday that hackers are now exploiting Google's Analytics service to stealthily pilfer credit card information from infected e-commerce sites.   According to several independent reports from PerimeterX , Kaspersky , and Sansec , threat actors are now injecting data-stealing code on the compromised websites in combination with tracking code generated by Google Analytics for their own account, letting them exfiltrate payment information entered by users even in conditions where content security policies are enforced for maximum web security.   ""Attackers injected malicious code into sites, which collected all the data entered by users and then sent it via Analytics,"" Kaspersky said in a report published yesterday. ""As a result, the attackers could access the stolen data in their Google Analytics account.""   The cybersecurity firm said it found about two dozen infected websites across Europe and North and South America that specialized in",https://thehackernews.com/search?updated-max=2020-06-22T07:08:00-07:00&max-results=8&start=40&by-date=false
Hackers Leaked 269 GB of U.S. Police and Fusion Centers Data Online,https://thehackernews.com/2020/06/law-enforcement-data-breach.html,"June 22, 2020",Swati Khandelwal,"A group of hacktivists and transparency advocates has published a massive 269 GB of data allegedly stolen from more than 200 police departments, fusion centers, and other law enforcement agencies across the United States.   Dubbed BlueLeaks , the exposed data leaked by the DDoSecrets  group contains hundreds of thousands of sensitive documents from the past ten years with official and personal information.   DDoSecrets, or Distributed Denial of Secrets , is a transparency collective similar to WikiLeaks, which publicly publishes data and classified information submitted by leakers and hackers while claiming the organization itself never gets involved in the exfiltration of data.   According to the hacktivist group, BlueLeaks dump includes ""police and FBI reports, bulletins, guides and more,"" which ""provides unique insights into law enforcement and a wide array of government activities, including thousands of documents mentioning COVID19.   As you can see in the screens",https://thehackernews.com/search?updated-max=2020-06-22T07:08:00-07:00&max-results=8&start=40&by-date=false
Over 100 New Chrome Browser Extensions Caught Spying On Users,https://thehackernews.com/2020/06/chrome-browser-extensions-spying.html,"June 22, 2020",Ravie Lakshmanan,"Google recently removed 106 more extensions from its Chrome Web Store after they were found illegally collecting sensitive user data as part of a ""massive global surveillance campaign"" targeting oil and gas, finance, and healthcare sectors.   Awake Security, which disclosed the findings  late last week, said the malicious browser add-ons were tied back to a single internet domain registrar, GalComm.   However, it's not immediately clear who is behind the spyware effort.   ""This campaign and the Chrome extensions involved performed operations such as taking screenshots of the victim device, loading malware, reading the clipboard, and actively harvesting tokens and user input,"" Awake Security said.   The extensions in question posed as utilities offering capabilities to convert files from one format to the other, among other tools for secure browsing, while relying on thousands of fake reviews to trick unsuspecting users into installing them.   Furthermore, the",https://thehackernews.com/search?updated-max=2020-06-15T03:53:00-07:00&max-results=8&start=48&by-date=false
InvisiMole Hackers Target High-Profile Military and Diplomatic Entities,https://thehackernews.com/2020/06/invisimole-hackers.html,"June 18, 2020",Ravie Lakshmanan,"Cybersecurity researchers today uncovered the modus operandi of an elusive threat group that hacks into the high-profile military and diplomatic entities in Eastern Europe for espionage.   The findings are part of a collaborative analysis by cybersecurity firm ESET and the impacted firms, resulting in an extensive look into InvisiMole's operations and the group's tactics, tools, and procedures (TTPs).   ""ESET researchers conducted an investigation of these attacks in cooperation with the affected organizations and were able to uncover the extensive, sophisticated tool-sets used for delivery, lateral movement, and execution of InvisiMole's backdoors,"" the company said in a report  shared with The Hacker News.    Cooperation with the Gamaredon Group   First discovered in 2018 , InvisiMole has been active at least since 2013 in connection with targeted cyber-espionage operations in Ukraine and Russia. After slipping under the radar, the threat actor returned late",https://thehackernews.com/search?updated-max=2020-06-15T03:53:00-07:00&max-results=8&start=48&by-date=false
Solution Providers Can Now Add Incident Response to Their Services Portfolio For Free,https://thehackernews.com/2019/09/msp-incident-response.html,"June 17, 2020",The Hacker News,"The Incident Response (IR) services market is in accelerated growth due to the rise in cyberattacks that result in breaches. More and more organizations, across all sizes and verticals, choose to outsource IR to 3rd party service providers over handling security incidents in-house.   Cynet is now launching a first-of-its-kind offering, enabling any Managed Security Provider (MSP) or Security Integrator (SI) to add Incident Response to its services portfolio, without building an in-house team of incident responders, by using Cynet's IR team and technology  at no cost.   Managed Service providers interested to add Incident Response to their service portfolio with no investment in people or technology can apply here .   As cyber threats grow in sophistication and volume, there is an increasing number of cases in which attackers succeed in compromising the environments they target. This, in turn, fuels a rapidly growing demand for IR technologies and services.   Since in most cases",https://thehackernews.com/search?updated-max=2020-06-15T03:53:00-07:00&max-results=8&start=48&by-date=false
Hackers Target Military and Aerospace Staff by Posing as HRs Offering Jobs,https://thehackernews.com/2020/06/military-aerospace-hacking.html,"June 17, 2020",Ravie Lakshmanan,"Cybersecurity researchers today took the wraps off a new sophisticated cyber-espionage campaign directed against aerospace and military organizations in Europe and the Middle East with an aim to spy on key employees of the targeted firms and, in some case, even to siphon money.   The campaign, dubbed "" Operation In(ter)ception "" because of a reference to ""Inception"" in the malware sample, took place between September to December 2019, according to a new report cybersecurity firm ESET shared with The Hacker News.   ""The primary goal of the operation was espionage,"" the researchers told The Hacker News. ""However, in one of the cases we investigated, the attackers tried to monetize access to a victim's email account through a business email compromise (BEC) attack as the final stage of the operation.""   The financial motivation behind the attacks, coupled with similarities in targeting and development environment, have led ESET to suspect Laz",https://thehackernews.com/search?updated-max=2020-06-15T03:53:00-07:00&max-results=8&start=48&by-date=false
New Ripple20 Flaws Put Billions of Internet-Connected Devices at Risk of Hacking,https://thehackernews.com/2020/06/new-critical-flaws-put-billions-of.html,"June 16, 2020",Mohit Kumar,"The Department of Homeland Security and CISA ICS-CERT today issued  a critical security advisory  warning about over a dozen newly discovered vulnerabilities affecting billions of Internet-connected devices manufactured by many vendors across the globe.   Dubbed "" Ripple20 ,"" the set of 19 vulnerabilities resides in a low-level TCP/IP software library developed by Treck, which, if weaponized, could let remote attackers gain complete control over targeted devices—without requiring any user interaction.   According to Israeli cybersecurity company JSOF—who discovered these flaws—the affected devices are in use across various industries, ranging from home/consumer devices to medical, healthcare, data centers, enterprises, telecom, oil, gas, nuclear, transportation, and many others across critical infrastructure.   ""Just a few examples: data could be stolen off of a printer,  an infusion pump behavior changed, or industrial control devices could be made to malfunction. An",https://thehackernews.com/search?updated-max=2020-06-15T03:53:00-07:00&max-results=8&start=48&by-date=false
Oracle E-Business Suite Flaws Let Hackers Hijack Business Operations,https://thehackernews.com/2020/06/oracle-e-business-suite.html,"June 16, 2020",Ravie Lakshmanan,"If your business operations and security of sensitive data rely on Oracle's E-Business Suite (EBS) , make sure you recently updated and are running the latest available version of the software.   In a report released by enterprise cybersecurity firm Onapsis and shared with The Hacker News, the firm today disclosed technical details for vulnerabilities it reported in its integrated group of applications designed to automate CRM, ERP, and SCM operations for organizations.   The two vulnerabilities, dubbed "" BigDebIT "" and rated a CVSS score of 9.9, were patched by Oracle in a critical patch update  (CPU) pushed out earlier this January. But the company said an estimated 50 percent of Oracle EBS customers have not deployed the patches to date.   The security flaws could be exploited by bad actors to target accounting tools such as General Ledger in a bid to steal sensitive information and commit financial fraud.   According to the researchers, ""an unauthenticated hacker",https://thehackernews.com/search?updated-max=2020-06-15T03:53:00-07:00&max-results=8&start=48&by-date=false
WebAuthn Passwordless Authentication Now Available for Atlassian Products,https://thehackernews.com/2020/06/webauthn-passwordless.html,"June 15, 2020",The Hacker News,"Atlassian solutions are widely used in the software development industry. Many teams practicing agile software development rely on these applications to manage their projects.   Issue-tracking application Jira, Git repository BitBucket, continuous integration and deployment server Bamboo, and team collaboration platform Confluence are all considered to be proven agile tools.   Considering how popular agile has become, it's no wonder Atlassian now serves 83 percent  of Fortune 500 companies and has over 10 million active users worldwide.   To help create a better experience for these users,  Alpha Serve  has developed WebAuthn add-ons  to bring passwordless authentication to various Atlassian products. Having a more convenient and secure way to login to their Atlassian instances should be a welcome development for development teams.    How WebAuthn Works   WebAuthn  is a browser-based security standard recommended by World Wide Web Consortium (W3C) that allows web apps to simplif",https://thehackernews.com/search?updated-max=2020-06-15T03:53:00-07:00&max-results=8&start=48&by-date=false
New Mobile Internet Protocol Vulnerabilities Let Hackers Target 4G/5G Users,https://thehackernews.com/2020/06/mobile-internet-hacking.html,"June 15, 2020",Ravie Lakshmanan,"High impact vulnerabilities in modern communication protocol used by mobile network operators (MNOs) can be exploited to intercept user data and carry out impersonation, fraud, and denial of service (DoS) attacks, cautions a newly published research.   The findings are part of a new Vulnerabilities in LTE and 5G Networks 2020  report published by London-based cybersecurity firm Positive Technologies last week.   ""This paper encompasses the results of security assessments performed during the 2018–2019 timeframe on behalf of 28 telecom operators in Europe, Asia, Africa, and South America.""   Called the GPRS Tunnelling Protocol  ( GTP ), the affected Internet Protocol (IP)-based communications standard defines a set of rules governing data traffic over 2G, 3G, and 4G networks.   It also forms the basis for GPRS core network  and its successor Evolved Packet Core ( EPC ), thus making it possible for users to keep connected to the Internet while moving from one place to the ot",https://thehackernews.com/search?updated-max=2020-06-15T03:53:00-07:00&max-results=8&start=48&by-date=false
Spies Can Listen to Your Conversations by Watching a Light Bulb in the Room,https://thehackernews.com/2020/06/lamphone-light-bulb-spy.html,"June 13, 2020",Ravie Lakshmanan,"You might not believe it, but it's possible to spy on secret conversations happening in a room from a nearby remote location just by observing a light bulb hanging in there—visible from a window—and measuring the amount of light it emits.   A team of cybersecurity researchers has developed and demonstrated a novel side-channel attacking technique that can be applied by eavesdroppers to recover full sound from a victim's room that contains an overhead hanging bulb.   The findings were published in a new paper  by a team of academics—Ben Nassi, Yaron Pirutin, Adi Shamir, Yuval Elovici and Boris Zadov—from the Israeli's Ben-Gurion University of the Negev and the Weizmann Institute of Science, which will also be presented at the Black Hat USA 2020  conference later this August.   The technique for long-distance eavesdropping, called "" Lamphone ,"" works by capturing minuscule sound waves optically through an electro-optical sensor directed at the bulb and using it t",https://thehackernews.com/search?updated-max=2020-06-09T07:54:00-07:00&max-results=8&start=56&by-date=false
A Bug in Facebook Messenger for Windows Could've Helped Malware Gain Persistence,https://thehackernews.com/2020/06/facebook-malware-persistence.html,"June 11, 2020",Wang Wei,"Cybersecurity researchers at Reason Labs, the threat research arm of security solutions provider Reason Cybersecurity , today disclosed details of a vulnerability they recently discovered in the Facebook Messenger application for Windows.   The vulnerability, which resides in Messenger version 460.16, could allow attackers to leverage the app to potentially execute malicious files already present on a compromised system in an attempt to help malware gain persistent/extended access.   Reason Labs shared  its findings with Facebook in April, after which the social media company quickly patched the flaw with the release of an updated version of Facebook Messenger for Windows users via the Microsoft store.      According to researchers, the vulnerable app triggers a call to load Windows Powershell from the C:\python27 path. This path is typically created when installing version 2.7 of the Python and does not commonly exist in most Windows installations.   Attackers can hijack such calls",https://thehackernews.com/search?updated-max=2020-06-09T07:54:00-07:00&max-results=8&start=56&by-date=false
Intel CPUs Vulnerable to New 'SGAxe' and 'CrossTalk' Side-Channel Attacks,https://thehackernews.com/2020/06/intel-sgaxe-crosstalk-attacks.html,"June 10, 2020",Ravie Lakshmanan,"Cybersecurity researchers have discovered two distinct attacks that could be exploited against modern Intel processors to leak sensitive information from the CPU's trusted execution environments (TEE).   Called SGAxe , the first of the flaws is an evolution of the previously uncovered CacheOut attack  (CVE-2020-0549) earlier this year that allows an attacker to retrieve the contents from the CPU's L1 Cache.   ""By using the extended attack against the Intel-provided and signed architectural SGX enclaves, we retrieve the secret attestation key used for cryptographically proving the genuinity of enclaves over the network, allowing us to pass fake enclaves as genuine,"" a group of academics from the University of Michigan said.   The second line of attack, dubbed CrossTalk  by researchers from the VU University Amsterdam, enables attacker-controlled code executing on one CPU core to target SGX enclaves running on a completely different core, and determine the enclave'",https://thehackernews.com/search?updated-max=2020-06-09T07:54:00-07:00&max-results=8&start=56&by-date=false
MSPs and MSSPs Can Increase Profit Margins With Cynet 360 Platform,https://thehackernews.com/2020/06/msps-mssps-cybersecurity.html,"June 10, 2020",The Hacker News,"As cyber threats keep on increasing in volume and sophistication, more and more organizations acknowledge that outsourcing their security operations to a 3rd-party service provider is a practice that makes the most sense.   To address this demand, managed security services providers (MSSPs) and managed service providers (MSPs) continuously search for the right products that would empower their teams to deliver high-quality and scalable services.   Cynet 360 Autonomous Breach Protection platform offers a multitenant security solution for MSSP/MSP, providing automated, all-in-one products that include a robust SOAR layer, on top of attack prevention and detection. (Learn more about Cynet's partner program for MSPs and MSSPs  here).   Service providers typically have a skilled security team at their disposal. The challenge is how to leverage this skill to serve as many customers as possible without compromising on the quality of the service. That makes each minute of each team member a",https://thehackernews.com/search?updated-max=2020-06-09T07:54:00-07:00&max-results=8&start=56&by-date=false
"Indian IT Company Was Hired to Hack Politicians, Investors, Journalists Worldwide",https://thehackernews.com/2020/06/hacker-for-hire-belltrox-india.html,"June 09, 2020",Wang Wei,"A team of cybersecurity researchers today outed a little-known Indian IT firm that has secretly been operating as a global hackers-for-hire service or hacking-as-a-service platform.   Based in Delhi, BellTroX InfoTech  allegedly targeted thousands of high-profile individuals and hundreds of organizations across six continents in the last seven years.   Hack-for-hire services do not operate as a state-sponsored group but likely as a hack-for-hire company that conducts commercial cyberespionage against given targets on behalf of private investigators and their clients.   According to the latest report published by the University of Toronto's Citizen Lab, BellTroX—dubbed ' Dark Basin ' as a hacking group—targeted advocacy groups, senior politicians, government officials, CEOs, journalists, and human rights defenders.   ""Over the course of our multi-year investigation, we found that Dark Basin likely conducted commercial espionage on behalf of their clients against oppo",https://thehackernews.com/search?updated-max=2020-06-09T07:54:00-07:00&max-results=8&start=56&by-date=false
